This is a cache of all the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
84883e511802125c5bd0be64db3354242568159856b86f4757d04f536ffed146 82 40 1062 357
4c7dedfa369f1454ea5a0c005aa4cc8933a549dec804197c9b7421edaaabb98d 7 6 70 4
d7fcc7584eca9ed1045e5bd4e267b4c1a8a2db9c88ed9dea9ac8d97801381e0f 8 7 156 39
683ef68c96e8689d3e27bb5f4abe3fd3738602b43f7c82c3a2e0179712c47efc 5 5 280 4
682469fa14c9aeabbe691c4e7dac08ad0c3e658c50ab08f14ba18d260ccc0938 3 3 520 1
9f2c7404b9c89b444f4c615913c05ad263c705fadc1699a9b1aa21dfe0e0cab3 3 3 275 1
5704195f9a0f6d57c186228bbef3f92e72fbea1cb9d5a41f8fa55105bb4330d6 5 5 297 16
69ad3145cf736d6f824944e41db8c64a89a049bd7d6042162237fa3500966f19 4 4 187 2
6309a5ca9e99a655e055bc1507ae088b50ed0cc688dab6261e553ca397667466 112 15 14209 611
338265180287d83a4abc4195f64e5c3e28e7527b75de48955b32f76b2fb8f1cb 5 5 415 74
9e1c96c72771063dd0b340db3035c5e49cfb2d5ea8b75c03f91a6b6c92e5df77 5 5 174 86
782071c234b93aba130050a05b5dd65355e43f42c4c33cc3822e2878ce074015 1555 12 1006 73
e5608fa1e459792249a1e895f63eb6a6b5db1d712237faa237fb9013d6d83920 4 4 127 2
655859b052af6bb411e1916ed0df95c9a8bf8ff4f441911e5026474522a4f2c4 6 1 85 58
2412aa729c75e4007eaf886f766269a8265100e8bafe0a34f0dcd7ebdb40e82a 7 7 1404 625
97252bb140c98b696a069105c6d22f72aa52829086f6dab5635a9ec0ef3aa74d 0 0 0 0
6dbb83f4564b253855bc7d7bb64d90e7a24ca46d6da023dbe0656cf413b2ec1b 8 8 945 1
24af09212df096de9e0da40314a22665d1f928d632dab00b97bee119bad19f25 36 36 8398 868
3d1b609519cf1fdb4a976a5421c00ca6d6637ddf5293fb73a1b461a3bc4a0ac0 18 8 2276 87
432aaad770b6515ef1a95c4306c93f261e0700f964373b225a9b72105df18ce8 1 1 1 0
100aa80973d9c8f0f144b8c70a78ec5dd0f2a1529c3e98cfedac3b58c540e05f 23 20 3820 114
26c549db38b4351d33559cf5a1bd23dab471ab4951328aacb4de29b2fbebba75 2 2 1801 195
8a7caf79aca923ab59861af9fcaaad8c10a46cf09db457ca58b3170fbcb9b6e5 302 302 62406 10291
4daa9e8b89d5a808d9d49ac0a87d708dbf40d0838d8cd2301709b2d36caf2d2c 7 7 1869 132
